# wiring_sweep_result.tsv — FR-019 sweep result. GENERATED; do not hand-edit.
# Regenerate: cm_unreferenced_gate_bound_or_retired.sh
# The fingerprint covers EXACTLY the inputs this sweep read (every gate
# file, every declared seam file, and the four registries). Change any of
# them and it changes, so a result computed against an earlier tree cannot
# satisfy a later one — that is the FR-021 staleness guarantee, and it is
# the whole reason the value is recorded here rather than assumed.
# Schema: <kind>\t<a>\t<b>\t<c>
sweep-verdict	REFUSE	2026-08-23T09:46:13Z	unbound=30
tree-fingerprint	445f4d5ecbfc7ee98b20dc65979b0b8c984a18d484fb42074fdd5d91150552da	gates=196	seams=13
summary	seam-literal=17	data-dispatch=90	paired=52;deferred=7;retired=0
# gate-token	gate-file	disposition	basis
gate	CM-COVENANT-114-200-PROPAGATION-MUTATION-TEST	cm_covenant_114_200_propagation_mutation_test.sh	BOUND-DATA-DISPATCH	filename reproduced from a real data-pack row via a declared dispatcher rule
gate	CM-COVENANT-114-200-PROPAGATION	cm_covenant_114_200_propagation.sh	BOUND-DATA-DISPATCH	filename reproduced from a real data-pack row via a declared dispatcher rule
gate	CM-COVENANT-114-201-PROPAGATION-MUTATION-TEST	cm_covenant_114_201_propagation_mutation_test.sh	BOUND-PAIRED-MUTATION	paired gate present: cm_covenant_114_201_propagation.sh
gate	CM-COVENANT-114-201-PROPAGATION	cm_covenant_114_201_propagation.sh	UNBOUND	no seam reference, no data-dispatch rule, no deferral row, no retirement row
gate	CM-COVENANT-114-202-PROPAGATION-MUTATION-TEST	cm_covenant_114_202_propagation_mutation_test.sh	BOUND-DATA-DISPATCH	filename reproduced from a real data-pack row via a declared dispatcher rule
gate	CM-COVENANT-114-202-PROPAGATION	cm_covenant_114_202_propagation.sh	BOUND-DATA-DISPATCH	filename reproduced from a real data-pack row via a declared dispatcher rule
gate	CM-COVENANT-114-207-PROPAGATION-MUTATION-TEST	cm_covenant_114_207_propagation_mutation_test.sh	BOUND-DATA-DISPATCH	filename reproduced from a real data-pack row via a declared dispatcher rule
gate	CM-COVENANT-114-207-PROPAGATION	cm_covenant_114_207_propagation.sh	BOUND-DATA-DISPATCH	filename reproduced from a real data-pack row via a declared dispatcher rule
gate	CM-COVENANT-114-213-PROPAGATION-MUTATION-TEST	cm_covenant_114_213_propagation_mutation_test.sh	BOUND-DATA-DISPATCH	filename reproduced from a real data-pack row via a declared dispatcher rule
gate	CM-COVENANT-114-213-PROPAGATION	cm_covenant_114_213_propagation.sh	BOUND-DATA-DISPATCH	filename reproduced from a real data-pack row via a declared dispatcher rule
gate	CM-COVENANT-114-230-PROPAGATION-MUTATION-TEST	cm_covenant_114_230_propagation_mutation_test.sh	BOUND-DATA-DISPATCH	filename reproduced from a real data-pack row via a declared dispatcher rule
gate	CM-COVENANT-114-230-PROPAGATION	cm_covenant_114_230_propagation.sh	BOUND-DATA-DISPATCH	filename reproduced from a real data-pack row via a declared dispatcher rule
gate	CM-COVENANT-114-231-PROPAGATION-MUTATION-TEST	cm_covenant_114_231_propagation_mutation_test.sh	BOUND-DATA-DISPATCH	filename reproduced from a real data-pack row via a declared dispatcher rule
gate	CM-COVENANT-114-231-PROPAGATION	cm_covenant_114_231_propagation.sh	BOUND-DATA-DISPATCH	filename reproduced from a real data-pack row via a declared dispatcher rule
gate	CM-COVENANT-114-232-PROPAGATION-MUTATION-TEST	cm_covenant_114_232_propagation_mutation_test.sh	BOUND-PAIRED-MUTATION	paired gate present: cm_covenant_114_232_propagation.sh
gate	CM-COVENANT-114-232-PROPAGATION	cm_covenant_114_232_propagation.sh	UNBOUND	no seam reference, no data-dispatch rule, no deferral row, no retirement row
gate	CM-COVENANT-114-233-PROPAGATION-MUTATION-TEST	cm_covenant_114_233_propagation_mutation_test.sh	BOUND-DATA-DISPATCH	filename reproduced from a real data-pack row via a declared dispatcher rule
gate	CM-COVENANT-114-233-PROPAGATION	cm_covenant_114_233_propagation.sh	BOUND-DATA-DISPATCH	filename reproduced from a real data-pack row via a declared dispatcher rule
gate	CM-COVENANT-114-234-PROPAGATION-MUTATION-TEST	cm_covenant_114_234_propagation_mutation_test.sh	BOUND-DATA-DISPATCH	filename reproduced from a real data-pack row via a declared dispatcher rule
gate	CM-COVENANT-114-234-PROPAGATION	cm_covenant_114_234_propagation.sh	BOUND-DATA-DISPATCH	filename reproduced from a real data-pack row via a declared dispatcher rule
gate	CM-COVENANT-114-235-PROPAGATION-MUTATION-TEST	cm_covenant_114_235_propagation_mutation_test.sh	BOUND-DATA-DISPATCH	filename reproduced from a real data-pack row via a declared dispatcher rule
gate	CM-COVENANT-114-235-PROPAGATION	cm_covenant_114_235_propagation.sh	BOUND-DATA-DISPATCH	filename reproduced from a real data-pack row via a declared dispatcher rule
gate	CM-COVENANT-114-236-PROPAGATION-MUTATION-TEST	cm_covenant_114_236_propagation_mutation_test.sh	BOUND-DATA-DISPATCH	filename reproduced from a real data-pack row via a declared dispatcher rule
gate	CM-COVENANT-114-236-PROPAGATION	cm_covenant_114_236_propagation.sh	BOUND-DATA-DISPATCH	filename reproduced from a real data-pack row via a declared dispatcher rule
gate	CM-COVENANT-114-237-PROPAGATION-MUTATION-TEST	cm_covenant_114_237_propagation_mutation_test.sh	BOUND-DATA-DISPATCH	filename reproduced from a real data-pack row via a declared dispatcher rule
gate	CM-COVENANT-114-237-PROPAGATION	cm_covenant_114_237_propagation.sh	BOUND-DATA-DISPATCH	filename reproduced from a real data-pack row via a declared dispatcher rule
gate	CM-COVENANT-114-238-PROPAGATION-MUTATION-TEST	cm_covenant_114_238_propagation_mutation_test.sh	BOUND-DATA-DISPATCH	filename reproduced from a real data-pack row via a declared dispatcher rule
gate	CM-COVENANT-114-238-PROPAGATION	cm_covenant_114_238_propagation.sh	BOUND-DATA-DISPATCH	filename reproduced from a real data-pack row via a declared dispatcher rule
gate	CM-COVENANT-114-239-PROPAGATION-MUTATION-TEST	cm_covenant_114_239_propagation_mutation_test.sh	BOUND-DATA-DISPATCH	filename reproduced from a real data-pack row via a declared dispatcher rule
gate	CM-COVENANT-114-239-PROPAGATION	cm_covenant_114_239_propagation.sh	BOUND-DATA-DISPATCH	filename reproduced from a real data-pack row via a declared dispatcher rule
gate	CM-COVENANT-114-240-PROPAGATION-MUTATION-TEST	cm_covenant_114_240_propagation_mutation_test.sh	BOUND-DATA-DISPATCH	filename reproduced from a real data-pack row via a declared dispatcher rule
gate	CM-COVENANT-114-240-PROPAGATION	cm_covenant_114_240_propagation.sh	BOUND-DATA-DISPATCH	filename reproduced from a real data-pack row via a declared dispatcher rule
gate	CM-COVENANT-114-241-PROPAGATION-MUTATION-TEST	cm_covenant_114_241_propagation_mutation_test.sh	BOUND-DATA-DISPATCH	filename reproduced from a real data-pack row via a declared dispatcher rule
gate	CM-COVENANT-114-241-PROPAGATION	cm_covenant_114_241_propagation.sh	BOUND-DATA-DISPATCH	filename reproduced from a real data-pack row via a declared dispatcher rule
gate	CM-COVENANT-114-242-PROPAGATION-MUTATION-TEST	cm_covenant_114_242_propagation_mutation_test.sh	BOUND-DATA-DISPATCH	filename reproduced from a real data-pack row via a declared dispatcher rule
gate	CM-COVENANT-114-242-PROPAGATION	cm_covenant_114_242_propagation.sh	BOUND-DATA-DISPATCH	filename reproduced from a real data-pack row via a declared dispatcher rule
gate	CM-COVENANT-114-243-PROPAGATION-MUTATION-TEST	cm_covenant_114_243_propagation_mutation_test.sh	BOUND-DATA-DISPATCH	filename reproduced from a real data-pack row via a declared dispatcher rule
